"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"0b8a81b2-217b-4145-bd6a-96b16e423ce8","dorvm6vtatvrtt.tei.xml","Sirmium","from=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[1]::15;to=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[1]::22","PLACE","","","","","","","UNVERIFIED","","","",""
"91c2c345-b0c9-40d8-834d-bbcbe2ac7650","dorvm6vtatvrtt.tei.xml","Untitled","from=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[2]::15;to=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[2]::23","PLACE","","","","","","","UNVERIFIED","","","",""
"8bb7fc81-e617-416f-98fb-fa2fe6b5dd86","dorvm6vtatvrtt.tei.xml","Tres Arbores","from=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[3]::15;to=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[3]::27","PLACE","","","","","","","UNVERIFIED","","","",""
"0ebb4bf2-21f5-43ed-a871-5db4d448ff1c","dorvm6vtatvrtt.tei.xml","Augusta Taurinorum","from=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[4]::15;to=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[4]::33","PLACE","","","","","","","UNVERIFIED","","","",""
"c2285355-fad4-4010-8897-fc60b7578fe7","dorvm6vtatvrtt.tei.xml","Ad Labores Pontis Ulcae/‘Leutuoano’","from=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[5]::15;to=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[5]::50","PLACE","","","","","","","UNVERIFIED","","","",""
"07239cbe-17f4-4a8a-a7df-2d32b4fc7cc4","dorvm6vtatvrtt.tei.xml","Stratonos Pyrgos/Caesarea","from=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[6]::15;to=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[6]::40","PLACE","","","","","","","UNVERIFIED","","","",""
"25df5221-8b78-46e9-8140-e9dfe98b42f9","dorvm6vtatvrtt.tei.xml","Altinum","from=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[7]::15;to=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[7]::22","PLACE","","","","","","","UNVERIFIED","","","",""
"f8149c40-51cd-4938-b20c-da45e521b3d1","dorvm6vtatvrtt.tei.xml","Alexandria ad Issum","from=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[8]::15;to=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[8]::34","PLACE","","","","","","","UNVERIFIED","","","",""
"570ec78a-eeab-4c61-9842-7aad2e403d54","dorvm6vtatvrtt.tei.xml","Batiana","from=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[9]::15;to=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[9]::22","PLACE","","","","","","","UNVERIFIED","","","",""
"bb95557a-decb-41ac-81c7-cee493b90766","dorvm6vtatvrtt.tei.xml","Umbennum","from=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[10]::15;to=/TEI[1]/teiHeader[1]/profileDesc[1]/settingDesc[1]/listPlace[1]/place[10]::23","PLACE","","","","","","","UNVERIFIED","","","",""
